DOMAIN,IP
www.bilibili.com,['interface.biliapi.com.']
mail.bilibili.com,['mail.bilibili.com.w.cdngslb.com.']
m.bilibili.com,['interface.biliapi.com.']
autodiscover.bilibili.com,['autodiscover.partner.outlook.cn.']
news.bilibili.com,['interface.biliapi.com.']
search.bilibili.com,['interface.biliapi.com.']
e.bilibili.com,['interface.biliapi.com.']
app.bilibili.com,['interface.biliapi.com.']
secure.bilibili.com,['secure.bilibili.com.cdn.dnsv1.com.']
api.bilibili.com,['interface.biliapi.com.']
info.bilibili.com,['info.bilibili.com.cdn.dnsv1.com.']
docs.bilibili.com,['42.120.0.158']
t.bilibili.com,['interface.biliapi.com.']
d.bilibili.com,['interface.biliapi.com.']
service.bilibili.com,['service.bilibili.com.w.cdngslb.com.']
vip.bilibili.com,['interface.biliapi.com.']
data.bilibili.com,['data.bilicdn2.com.']
jobs.bilibili.com,['jobs.bilibili.com.w.kunluncan.com.']
game.bilibili.com,['game.bilibili.com.w.cdngslb.com.']
member.bilibili.com,['interface.biliapi.com.']
live.bilibili.com,['interface.biliapi.com.']
chat.bilibili.com,['broadcastlv.chat.bilibili.com.']
security.bilibili.com,['interface.biliapi.com.']
msoid.bilibili.com,['clientconfig.partner.microsoftonline-p.net.cn.']
u.bilibili.com,['interface.biliapi.com.']
vc.bilibili.com,['interface.biliapi.com.']
zb.bilibili.com,['interface.biliapi.com.']
hd.bilibili.com,['interface.biliapi.com.']
club.bilibili.com,['interface.biliapi.com.']
b.bilibili.com,['interface.biliapi.com.']
ir.bilibili.com,['bilibili.gcs-web.com.']
c.bilibili.com,['interface.biliapi.com.']
mall.bilibili.com,['a.w.bilicdn1.com.']
global.bilibili.com,['interface.biliapi.com.']
f.bilibili.com,['interface.biliapi.com.']
cm.bilibili.com,['interface.biliapi.com.']
account.bilibili.com,['interface.biliapi.com.']
link.bilibili.com,['interface.biliapi.com.']
stat.bilibili.com,['42.121.54.103']
show.bilibili.com,['show.bilibili.com.w.kunlunar.com.']
cd.bilibili.com,['interface.biliapi.com.']
space.bilibili.com,['a.w.bilicdn1.com.']
campus.bilibili.com,['interface.biliapi.com.']
pay.bilibili.com,['interface.biliapi.com.']
h.bilibili.com,['interface.biliapi.com.']
